Date,Open,High,Low,Close,Adj Close,Volume
1/3/2012,50.305,51.064999,50.200001,50.724998,43.832027,5597400
1/4/2012,50.73,50.994999,50.310001,50.794998,43.892506,4909000
1/5/2012,50.575001,51.255001,49.91,51.075001,44.134468,5075000
1/6/2012,51.125,51.884998,51,51.215,44.255436,4493000
1/9/2012,51.235001,51.529999,50.75,51.084999,44.143101,3525600
1/10/2012,52.695,53.634998,52.450001,52.759998,45.590492,6240000
1/11/2012,52.389999,52.744999,51.474998,51.584999,44.575169,4476000
1/12/2012,51.814999,52.349998,51.27,51.939999,44.951626,4658400
1/13/2012,51.334999,51.724998,50.715,51.52,44.588142,3482800
1/17/2012,52.349998,52.555,51.330002,51.860001,44.882404,3053600
1/18/2012,51.810001,52.91,51.404999,52.685001,45.596397,3217000
1/19/2012,52.845001,53.264999,52.34,52.540001,45.470901,5439600
1/20/2012,52.435001,52.485001,51.220001,51.580002,44.640072,5567800
1/23/2012,52.415001,53.314999,52.185001,52.799999,45.695923,5463000
1/24/2012,52.314999,52.445,51.75,52.275002,45.241558,3867200
1/25/2012,52.139999,53.599998,51.509998,53.404999,46.219509,4330400
1/26/2012,53.645,53.75,52.115002,52.375,45.328102,4547600
1/27/2012,52.165001,52.630001,51.744999,52.060001,45.055492,3197800
1/30/2012,51.505001,52.715,51.084999,52.654999,45.570431,4345600
1/31/2012,52.785,53.134998,52.349998,53.07,45.929596,5577800
2/1/2012,53.474998,53.490002,52.34,52.950001,45.825745,6657200
2/2/2012,52.825001,54.064999,52.48,53.240002,46.076725,4281400
2/3/2012,54.014999,55.060001,53.549999,54.544998,47.206142,4429800
2/6/2012,54.735001,55.275002,54.384998,55.029999,47.625877,6138400
2/7/2012,55,55.75,54.525002,55.564999,48.088902,3658800
2/8/2012,55.720001,55.845001,54.775002,55.709999,48.214386,3084400
2/9/2012,55.525002,56.830002,55.439999,56.224998,48.660099,3964600
2/10/2012,55.384998,55.915001,55.080002,55.915001,48.391804,3686800
2/13/2012,56.27,56.825001,56.09,56.689999,49.062527,3973600
2/14/2012,56.580002,56.91,56.185001,56.875,49.222641,4835800
2/15/2012,57.25,57.950001,56.674999,57.419998,49.694302,5980600
2/16/2012,57.494999,59.404999,57.264999,58.810001,50.897297,6609800
2/17/2012,59.535,59.985001,56.744999,57.174999,49.482285,12338800
2/21/2012,57.990002,58.494999,57.494999,57.825001,50.044823,6828600
2/22/2012,57.98,58.755001,57.785,57.830002,50.049149,5726800
2/23/2012,57.924999,58.299999,57.25,58.25,50.412647,4004000
2/24/2012,58.330002,59.040001,58.095001,58.775002,50.867001,3351800
2/27/2012,58.665001,58.900002,57.810001,57.810001,50.031841,4582600
2/28/2012,57.959999,58.599998,57.75,58.305,50.460251,4872000
2/29/2012,58.365002,58.599998,56.689999,56.93,49.270241,6444600
3/1/2012,57.125,58.505001,57.125,58.455002,50.590057,5143200
3/2/2012,58.200001,58.389999,56.540001,56.950001,49.287548,4699200
3/5/2012,56.755001,56.810001,55.68,56.599998,48.984642,3162600
3/6/2012,55.560001,56.404999,55.110001,56.360001,48.776932,5257800
3/7/2012,56.360001,56.834999,56.014999,56.57,48.958679,3895400
3/8/2012,57.360001,57.66,56.66,57.205002,49.508247,3130000
3/9/2012,57.25,57.875,57.029999,57.490002,49.754898,2713400
3/12/2012,57.619999,57.619999,56.259998,56.865002,49.213974,2890600
3/13/2012,56.924999,58.470001,56.509998,58.424999,50.564095,5206400
3/14/2012,58.404999,58.474998,57.040001,57.34,49.625084,3395400
3/15/2012,57.419998,58.134998,57.025002,57.814999,50.036156,3907200
3/16/2012,58.18,58.935001,57.895,58.389999,50.533806,5474600
3/19/2012,58.325001,58.985001,58.055,58.695,50.797771,3386200
3/20/2012,58.07,58.07,57.075001,57.355,49.638058,3449600
3/21/2012,57.355,57.549999,56.535,56.904999,49.248615,3303400
3/22/2012,56.18,56.57,54.93,55.174999,47.751377,4562200
3/23/2012,55.240002,56.325001,55.080002,55.865002,48.348537,4599000
3/26/2012,56.380001,56.599998,55.805,56.080002,48.534611,2741400
3/27/2012,56.23,56.264999,55.459999,55.639999,48.153816,2920800
3/28/2012,55.369999,55.474998,54.25,54.814999,47.439808,3495600
3/29/2012,54.244999,54.630001,53.575001,54.509998,47.175838,2885200
3/30/2012,54.740002,55.740002,54.380001,55.549999,48.075916,3541200
