Date,Open,High,Low,Close,Adj Close,Volume
1/3/2012,191.919998,198.279999,191.919998,196.800003,196.800003,472075
1/4/2012,197.160004,201.360001,194.679993,201,201,494600
1/5/2012,199.199997,207.320007,197.639999,207.320007,207.320007,810675
1/6/2012,208.279999,212.039993,206.559998,207.360001,207.360001,574725
1/9/2012,207.320007,209.240005,205.919998,208.399994,208.399994,472975
1/10/2012,208.080002,210.479996,203,206,206,772500
1/11/2012,205.399994,206.240005,199.919998,204.360001,204.360001,548075
1/12/2012,205.199997,206,200.639999,201.240005,201.240005,488575
1/13/2012,199.279999,200.080002,195.559998,199.240005,199.240005,435200
1/17/2012,203.160004,208,202.320007,204,204,474975
1/18/2012,203.320007,206.039993,200.479996,204.880005,204.880005,551900
1/19/2012,206.960007,207.960007,202.279999,202.880005,202.880005,390900
1/20/2012,191.639999,193.919998,186.199997,193.320007,193.320007,1629850
1/23/2012,194.919998,201.600006,194.360001,201.080002,201.080002,494300
1/24/2012,199.320007,202.119995,196.919998,202.119995,202.119995,353800
1/25/2012,201.720001,208.240005,199.520004,207.520004,207.520004,746775
1/26/2012,210.119995,210.800003,199.679993,201.520004,201.520004,540700
1/27/2012,202.720001,205.440002,201.279999,202.960007,202.960007,436275
1/30/2012,199.600006,201.919998,198.600006,201.240005,201.240005,253500
1/31/2012,203.240005,204.720001,198.399994,200.360001,200.360001,427600
2/1/2012,201.240005,203.240005,198.199997,200.479996,200.479996,430975
2/2/2012,201.039993,201.759995,195.039993,195.479996,195.479996,630500
2/3/2012,198.240005,198.880005,194.639999,198,198,600425
2/6/2012,196.160004,202.399994,195.320007,202.039993,202.039993,462475
2/7/2012,203.080002,206.279999,195.679993,205.399994,205.399994,981750
2/8/2012,206.320007,215.440002,206.279999,211.520004,211.520004,1119450
2/9/2012,213.440002,215.919998,208.240005,212.360001,212.360001,775600
2/10/2012,210.080002,210.080002,201.039993,203.559998,203.559998,853650
2/13/2012,206.039993,208.639999,203.600006,207.720001,207.720001,472300
2/14/2012,207.160004,215.559998,207.160004,211.600006,211.600006,488125
2/15/2012,213.839996,216.520004,211,212.240005,212.240005,395700
2/16/2012,211.800003,220.520004,209.160004,219.520004,219.520004,528250
2/17/2012,222.720001,223.279999,216.240005,220.639999,220.639999,379625
2/21/2012,231,231,222.240005,226.919998,226.919998,632875
2/22/2012,226.800003,228.160004,223.320007,226.240005,226.240005,573975
2/23/2012,236,240.679993,230.039993,239.720001,239.720001,1169100
2/24/2012,242.240005,255.880005,240.600006,249.880005,249.880005,1312625
2/27/2012,244,251.360001,241.399994,246.639999,246.639999,873450
2/28/2012,244.360001,245.960007,238.800003,239.759995,239.759995,571550
2/29/2012,239.800003,240.800003,233.199997,234.559998,234.559998,732800
3/1/2012,236.199997,242.600006,233.720001,238.679993,238.679993,592800
3/2/2012,238.160004,239.399994,229.639999,231.800003,231.800003,491650
3/5/2012,231.240005,231.240005,224.960007,229.320007,229.320007,341325
3/6/2012,221.080002,225.399994,218.039993,222.399994,222.399994,601975
3/7/2012,224.679993,228.320007,221.720001,226.880005,226.880005,432850
3/8/2012,228,232.080002,225.160004,230.880005,230.880005,310675
3/9/2012,232.119995,233.839996,228.080002,229.199997,229.199997,350750
3/12/2012,227.839996,227.839996,222.880005,225.119995,225.119995,372675
3/13/2012,226.800003,228.399994,221.759995,228.119995,228.119995,583450
3/14/2012,227.600006,232.479996,226.039993,228.639999,228.639999,469300
3/15/2012,228.520004,232.279999,226.479996,230.119995,230.119995,308000
3/16/2012,230.360001,238.279999,230.160004,237.399994,237.399994,459850
3/19/2012,237.039993,238.880005,235,236.960007,236.960007,393600
3/20/2012,233.759995,233.800003,226.600006,228.559998,228.559998,314575
3/21/2012,228.039993,229.080002,223.520004,226.440002,226.440002,432775
3/22/2012,222.240005,223.679993,216.360001,218.479996,218.479996,564075
3/23/2012,219.800003,225.960007,216.600006,224.880005,224.880005,506225
3/26/2012,228.160004,229.600006,224.960007,226.479996,226.479996,356150
3/27/2012,228.639999,228.639999,220,220.039993,220.039993,400500
3/28/2012,219.679993,220.360001,212,214.320007,214.320007,453150
3/29/2012,212.160004,217.279999,211.440002,217,217,445225
3/30/2012,218.440002,219.639999,213.880005,217.199997,217.199997,369325
4/2/2012,216.759995,222.679993,214.600006,220.479996,220.479996,514925
4/3/2012,220.479996,220.880005,216.839996,219.479996,219.479996,245050
4/4/2012,214.559998,217.679993,210.800003,212.520004,212.520004,431475
4/5/2012,211.679993,216.199997,210.399994,211.679993,211.679993,233775
4/9/2012,207.440002,211.440002,204,209.800003,209.800003,290900
4/10/2012,209.160004,212.679993,203.839996,204.679993,204.679993,406725
4/11/2012,208.520004,208.800003,201.600006,202,202,409725
4/12/2012,204.240005,210.279999,203.199997,209.160004,209.160004,451375
4/13/2012,208.720001,210.320007,205.119995,208.679993,208.679993,375475
4/16/2012,208.800003,212,203.800003,206.080002,206.080002,376600
4/17/2012,208.639999,215.839996,208.279999,213.360001,213.360001,477825
4/18/2012,212.880005,215.759995,210.720001,214.199997,214.199997,452900
4/19/2012,214.720001,220.839996,214.600006,216.919998,216.919998,396700
4/20/2012,219.639999,221.440002,214.839996,214.880005,214.880005,310225
4/23/2012,210.440002,215.119995,206.559998,214,214,378775
4/24/2012,213.759995,217,211.240005,215.639999,215.639999,313800
4/25/2012,219.119995,224.479996,216.440002,223.639999,223.639999,687950
4/26/2012,223.600006,228.440002,218,224.440002,224.440002,566275
4/27/2012,227.039993,228.639999,223.479996,227.160004,227.160004,415100
